player_id,player_display_name,position,season,recent_team,games,racr,target_share,air_yards_share,wopr,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,receiving_fumbles_per_game,receiving_air_yards_per_game,receiving_yards_after_catch_per_game,receiving_first_downs_per_game,receiving_epa_per_game,fantasy_points_ppr_per_game,fantasy_points_ppr_per_game_next_year
00-0030710,Trey Burton,TE,2017,PHI,14,0.81,0.06,0.06,0.12,1.64,2.21,17.71,0.36,0.0,22.0,2.5,1.0,1.43,5.7,9.19
00-0030710,Trey Burton,TE,2018,CHI,16,0.91,0.15,0.14,0.32,3.38,4.75,35.56,0.38,0.06,38.94,11.88,1.81,0.9,9.19,2.8
00-0030710,Trey Burton,TE,2019,CHI,8,0.7,0.04,0.03,0.08,1.75,3.0,10.5,0.0,0.0,15.0,4.5,0.62,-1.08,2.8,6.94
00-0030710,Trey Burton,TE,2020,IND,12,0.73,0.09,0.09,0.19,2.33,3.92,20.83,0.25,0.0,28.42,7.25,1.17,-0.33,6.94,
00-0030780,Ryan Hewitt,TE,2015,CIN,9,1.34,0.02,0.02,0.05,0.89,1.33,11.0,0.0,0.0,8.22,6.56,0.33,0.51,1.99,
00-0030854,Erik Swoope,TE,2016,IND,12,1.17,0.04,0.05,0.09,1.25,1.83,24.75,0.08,0.0,21.08,11.17,1.0,1.76,4.23,
00-0030992,Crockett Gillmore,TE,2015,BAL,10,1.19,0.07,0.07,0.15,3.3,4.7,41.2,0.4,0.0,34.5,24.5,1.7,1.5,9.82,
00-0031035,Xavier Grimble,TE,2016,PIT,8,0.82,0.04,0.03,0.07,1.38,2.62,14.75,0.25,0.0,18.0,4.75,1.0,-0.01,4.35,1.78
00-0031035,Xavier Grimble,TE,2017,PIT,8,0.46,0.02,0.01,0.03,0.62,1.12,4.0,0.12,0.0,8.62,2.0,0.25,-0.35,1.78,1.58
00-0031035,Xavier Grimble,TE,2018,PIT,8,1.54,0.01,0.01,0.03,0.75,1.0,10.75,0.0,0.12,7.0,7.0,0.62,0.09,1.58,
00-0031044,Troy Niklas,TE,2017,ARI,11,0.73,0.04,0.03,0.08,1.0,2.09,12.0,0.09,0.0,16.45,5.09,0.55,0.17,2.75,
00-0031167,Scott Simonson,TE,2018,NYG,10,1.3,0.02,0.02,0.05,0.9,1.4,8.6,0.1,0.0,6.6,3.1,0.6,-0.99,2.36,
00-0031260,Logan Thomas,TE,2018,BUF,9,0.57,0.04,0.03,0.07,1.33,1.89,8.56,0.0,0.0,15.0,3.78,0.33,0.22,2.26,2.62
00-0031260,Logan Thomas,TE,2019,DET,15,0.81,0.05,0.04,0.1,1.07,1.87,11.53,0.07,0.0,14.27,5.13,0.67,-0.08,2.62,11.04
00-0031260,Logan Thomas,TE,2020,WAS,16,0.87,0.19,0.21,0.43,4.5,6.88,41.88,0.38,0.0,48.12,18.0,2.25,0.43,11.04,5.95
00-0031260,Logan Thomas,TE,2022,WAS,13,0.75,0.11,0.1,0.24,3.0,4.69,24.85,0.08,0.0,33.08,9.69,1.15,-0.66,5.95,7.92
00-0031260,Logan Thomas,TE,2023,WAS,16,1.05,0.13,0.1,0.26,3.44,4.88,31.0,0.25,0.12,29.44,14.31,1.31,-0.3,7.92,
00-0031273,Cameron Brate,TE,2015,TB,12,0.94,0.06,0.06,0.13,1.92,2.5,24.0,0.25,0.0,25.42,4.17,1.17,1.13,5.82,11.4
00-0031273,Cameron Brate,TE,2016,TB,15,0.84,0.14,0.14,0.31,3.8,5.4,44.0,0.53,0.07,52.6,9.07,2.73,2.69,11.4,8.94
00-0031273,Cameron Brate,TE,2017,TB,16,0.83,0.13,0.12,0.27,3.0,4.81,36.94,0.38,0.0,44.44,8.94,2.06,1.4,8.94,6.19
00-0031273,Cameron Brate,TE,2018,TB,15,0.71,0.08,0.06,0.16,2.0,3.27,19.27,0.4,0.07,27.0,3.4,1.2,0.33,6.19,6.51
00-0031273,Cameron Brate,TE,2019,TB,14,0.81,0.09,0.06,0.18,2.57,3.93,22.21,0.29,0.0,27.5,6.43,1.5,0.28,6.51,5.25
00-0031273,Cameron Brate,TE,2020,TB,13,0.97,0.06,0.05,0.12,2.15,2.62,21.69,0.15,0.0,22.38,5.46,1.31,1.8,5.25,4.91
00-0031273,Cameron Brate,TE,2021,TB,16,0.56,0.08,0.07,0.17,1.88,3.56,15.31,0.25,0.0,27.12,5.06,0.94,-0.14,4.91,4.16
00-0031273,Cameron Brate,TE,2022,TB,9,0.69,0.05,0.05,0.11,2.22,4.22,19.33,0.0,0.0,27.89,7.22,0.89,-1.3,4.16,
00-0031299,Jordan Matthews,TE,2015,PHI,16,0.94,0.21,0.25,0.48,5.31,8.0,62.31,0.5,0.12,66.44,25.88,2.75,1.93,14.42,12.24
00-0031299,Jordan Matthews,TE,2016,PHI,14,0.71,0.19,0.25,0.46,5.21,8.36,57.43,0.21,0.07,80.93,17.36,2.71,2.0,12.24,5.72
00-0031299,Jordan Matthews,TE,2017,BUF,10,1.11,0.08,0.06,0.16,2.5,3.6,28.2,0.1,0.1,25.3,12.4,1.4,1.38,5.72,5.64
00-0031299,Jordan Matthews,TE,2018,PHI,11,1.05,0.05,0.06,0.12,1.82,2.55,27.27,0.18,0.0,25.91,7.55,1.27,1.61,5.64,
00-0031302,C.J. Fiedorowicz,TE,2015,HOU,14,1.52,0.04,0.02,0.07,1.21,1.71,11.93,0.07,0.07,7.86,5.5,0.57,-0.47,2.69,8.93
00-0031302,C.J. Fiedorowicz,TE,2016,HOU,15,0.92,0.15,0.12,0.32,3.6,5.93,37.27,0.27,0.07,40.6,14.13,2.0,0.81,8.93,
00-0031384,Richard Rodgers,TE,2015,GB,16,0.94,0.15,0.12,0.31,3.62,5.31,31.88,0.5,0.0,33.75,13.62,1.69,0.8,10.01,4.61
00-0031384,Richard Rodgers,TE,2016,GB,15,0.71,0.08,0.07,0.16,2.0,3.13,18.07,0.13,0.0,25.4,7.0,0.93,0.35,4.61,3.4
00-0031384,Richard Rodgers,TE,2017,GB,10,1.22,0.03,0.03,0.07,1.2,1.9,16.0,0.1,0.0,13.1,8.9,0.6,0.61,3.4,8.81
00-0031384,Richard Rodgers,TE,2020,PHI,8,1.13,0.06,0.06,0.12,3.0,3.88,43.12,0.25,0.0,38.12,11.88,2.0,2.7,8.81,
00-0031387,Eric Ebron,TE,2015,DET,14,1.43,0.11,0.09,0.23,3.36,5.0,38.36,0.36,0.0,26.79,20.79,1.93,0.98,9.34,11.09
00-0031387,Eric Ebron,TE,2016,DET,13,1.05,0.15,0.15,0.33,4.69,6.54,54.69,0.08,0.0,52.0,21.77,2.85,2.52,11.09,8.28
00-0031387,Eric Ebron,TE,2017,DET,16,0.91,0.15,0.14,0.32,3.31,5.38,35.88,0.25,0.06,39.31,16.12,1.88,0.51,8.28,13.89
00-0031387,Eric Ebron,TE,2018,IND,16,0.72,0.17,0.21,0.41,4.12,6.88,46.88,0.81,0.0,64.88,15.62,2.44,2.14,13.89,7.86
00-0031387,Eric Ebron,TE,2019,IND,11,0.76,0.11,0.12,0.24,2.82,4.73,34.09,0.27,0.0,45.0,14.09,1.82,-0.26,7.86,9.45
00-0031387,Eric Ebron,TE,2020,PIT,15,0.85,0.14,0.14,0.31,3.73,6.07,37.2,0.33,0.07,43.87,12.8,2.0,0.18,9.45,4.06
00-0031387,Eric Ebron,TE,2021,PIT,8,0.72,0.03,0.03,0.06,1.5,2.25,10.5,0.12,0.0,14.5,2.62,0.75,0.22,4.06,
00-0031418,Austin Seferian-Jenkins,TE,2016,NYJ,9,0.83,0.04,0.03,0.07,1.44,2.22,17.11,0.11,0.0,20.67,3.11,1.0,0.56,3.82,7.82
00-0031418,Austin Seferian-Jenkins,TE,2017,NYJ,13,0.8,0.15,0.11,0.3,3.85,5.69,27.46,0.23,0.08,34.46,9.54,1.46,-0.58,7.82,
00-0031484,Chris Manhertz,TE,2021,JAX,10,1.04,0.02,0.01,0.03,0.6,0.9,7.1,0.1,0.0,6.8,2.6,0.4,0.32,1.91,1.5
00-0031484,Chris Manhertz,TE,2024,NYG,8,2.0,0.01,0.0,0.01,0.38,0.5,3.75,0.12,0.0,1.88,2.38,0.25,0.32,1.5,
00-0031558,Maxx Williams,TE,2015,BAL,14,0.9,0.07,0.06,0.15,2.29,3.43,19.14,0.07,0.07,21.29,10.5,1.14,-0.08,4.63,2.82
00-0031558,Maxx Williams,TE,2017,BAL,10,0.0,0.03,-0.0,0.05,1.5,1.8,8.6,0.1,0.1,-0.1,10.0,0.6,-0.29,2.82,3.71
00-0031558,Maxx Williams,TE,2018,BAL,10,3.11,0.03,0.01,0.05,1.6,1.7,14.3,0.1,0.0,4.6,9.7,0.7,1.17,3.71,3.17
00-0031558,Maxx Williams,TE,2019,ARI,13,1.47,0.04,0.03,0.08,1.15,1.46,15.54,0.08,0.0,10.54,8.0,0.85,0.32,3.17,
00-0031585,MyCole Pruitt,TE,2015,MIN,11,0.75,0.04,0.04,0.08,0.91,1.45,8.09,0.0,0.0,10.82,4.18,0.27,0.09,1.72,2.33
00-0031585,MyCole Pruitt,TE,2019,TEN,9,3.0,0.02,0.01,0.03,0.67,0.89,10.0,0.11,0.0,3.33,7.22,0.44,0.61,2.33,4.85
00-0031585,MyCole Pruitt,TE,2021,TEN,10,1.23,0.03,0.03,0.07,1.4,1.8,14.5,0.3,0.0,11.8,5.9,1.0,0.99,4.85,5.5
00-0031585,MyCole Pruitt,TE,2022,ATL,10,1.27,0.05,0.03,0.1,1.6,2.1,15.0,0.4,0.0,11.8,7.5,1.0,0.82,5.5,2.6
00-0031585,MyCole Pruitt,TE,2023,ATL,10,1.77,0.02,0.01,0.05,0.9,1.2,11.0,0.1,0.1,6.2,5.1,0.7,0.82,2.6,
00-0031598,Nick Boyle,TE,2015,BAL,9,1.46,0.03,0.02,0.07,2.0,2.56,17.0,0.0,0.0,11.67,11.11,1.11,0.68,3.92,3.35
00-0031598,Nick Boyle,TE,2017,BAL,15,2.71,0.07,0.02,0.11,1.87,2.47,13.53,0.0,0.0,5.0,10.2,0.73,0.29,3.35,3.69
00-0031598,Nick Boyle,TE,2018,BAL,12,1.78,0.07,0.02,0.12,1.92,3.08,17.75,0.0,0.0,10.0,11.67,0.83,-0.39,3.69,5.01
00-0031598,Nick Boyle,TE,2019,BAL,15,1.22,0.1,0.07,0.2,2.07,2.87,21.4,0.13,0.0,17.53,10.67,0.87,0.81,5.01,4.14
00-0031598,Nick Boyle,TE,2020,BAL,9,1.22,0.04,0.03,0.08,1.56,1.89,12.56,0.22,0.0,10.33,3.78,0.89,0.69,4.14,
00-0031609,A.J. Derby,TE,2017,MIA,11,0.67,0.07,0.08,0.16,1.91,3.64,22.18,0.18,0.09,32.91,8.36,1.0,-0.67,5.04,
00-0031610,Darren Waller,TE,2016,BAL,10,0.75,0.03,0.02,0.05,1.0,1.7,8.5,0.2,0.0,11.4,3.9,0.7,-0.35,3.05,13.81
00-0031610,Darren Waller,TE,2019,LV,16,1.35,0.24,0.24,0.53,5.62,7.31,71.56,0.19,0.06,53.0,36.12,3.31,2.91,13.81,17.41
00-0031610,Darren Waller,TE,2020,LV,16,1.06,0.28,0.25,0.59,6.69,9.06,74.75,0.56,0.12,70.5,35.75,4.31,3.59,17.41,12.14
00-0031610,Darren Waller,TE,2021,LV,11,0.72,0.15,0.18,0.36,5.0,8.45,60.45,0.18,0.0,83.45,22.0,2.82,1.11,12.14,10.6
00-0031610,Darren Waller,TE,2022,LV,8,0.67,0.08,0.11,0.19,3.5,5.38,48.5,0.38,0.0,72.12,10.0,2.25,0.61,10.6,9.43
00-0031610,Darren Waller,TE,2023,NYG,12,0.93,0.15,0.16,0.34,4.33,6.17,46.0,0.08,0.0,49.33,17.58,2.08,1.27,9.43,
00-0031690,Eric Tomlinson,TE,2017,NYJ,9,1.83,0.02,0.02,0.04,0.89,1.22,13.44,0.11,0.0,7.33,7.56,0.44,0.27,2.9,1.27
00-0031690,Eric Tomlinson,TE,2018,NYJ,12,1.6,0.03,0.01,0.05,0.67,1.17,6.0,0.0,0.0,3.75,7.42,0.25,-0.66,1.27,3.21
00-0031690,Eric Tomlinson,TE,2022,DEN,9,1.34,0.02,0.01,0.04,1.0,1.44,8.78,0.22,0.0,6.56,4.89,0.56,0.81,3.21,
00-0031744,Matt LaCosse,TE,2018,DEN,13,1.24,0.07,0.05,0.13,1.85,2.85,19.23,0.08,0.0,15.54,11.0,0.85,0.63,4.23,4.01
00-0031744,Matt LaCosse,TE,2019,NE,8,0.98,0.03,0.03,0.07,1.62,2.38,16.38,0.12,0.0,16.75,5.75,0.75,0.07,4.01,
00-0031951,James O'Shaughnessy,TE,2016,KC,12,-0.14,0.01,0.0,0.01,0.17,0.25,-0.08,0.0,0.0,0.58,0.0,0.0,-0.13,0.16,2.18
00-0031951,James O'Shaughnessy,TE,2017,JAX,16,1.11,0.05,0.03,0.09,0.88,1.5,9.31,0.06,0.0,8.38,5.69,0.56,0.43,2.18,3.24
00-0031951,James O'Shaughnessy,TE,2018,JAX,14,0.94,0.07,0.06,0.15,1.71,2.71,15.29,0.0,0.0,16.29,8.71,0.71,-0.29,3.24,3.61
00-0031951,James O'Shaughnessy,TE,2020,JAX,15,0.96,0.06,0.06,0.14,1.87,2.53,17.47,0.0,0.0,18.27,6.27,0.8,0.62,3.61,
00-0032004,Will Tye,TE,2015,NYG,13,1.3,0.1,0.08,0.2,3.23,4.77,35.69,0.23,0.08,27.38,14.92,1.77,0.92,8.03,5.84
00-0032004,Will Tye,TE,2016,NYG,16,0.94,0.12,0.09,0.24,3.0,4.38,24.69,0.06,0.0,26.38,11.62,1.0,-0.75,5.84,
00-0032062,Blake Bell,TE,2015,SF,9,1.0,0.05,0.05,0.1,1.67,2.78,20.67,0.0,0.0,20.67,10.22,0.56,-0.24,3.73,1.56
00-0032062,Blake Bell,TE,2016,SF,8,0.79,0.02,0.03,0.05,0.5,1.12,10.62,0.0,0.0,13.5,3.88,0.25,0.33,1.56,1.84
00-0032062,Blake Bell,TE,2018,JAX,8,1.16,0.02,0.02,0.04,1.0,1.38,8.38,0.0,0.0,7.25,4.75,0.38,0.26,1.84,1.05
00-0032062,Blake Bell,TE,2019,KC,14,0.68,0.03,0.02,0.05,0.57,1.07,4.79,0.0,0.0,7.07,0.64,0.21,-0.19,1.05,2.02
00-0032062,Blake Bell,TE,2020,DAL,11,1.43,0.02,0.02,0.05,1.0,1.36,10.0,0.0,0.0,7.0,4.36,0.64,0.14,2.02,1.7
00-0032062,Blake Bell,TE,2021,KC,11,2.81,0.02,0.01,0.03,0.82,1.18,7.91,0.0,0.0,2.82,6.09,0.36,0.11,1.7,
00-0032089,Brian Parker,TE,2018,DEN,8,0.77,0.02,0.01,0.03,0.62,1.25,4.12,0.0,0.0,5.38,3.62,0.25,-0.52,1.04,
00-0032098,Daniel Brown,TE,2017,CHI,10,0.85,0.04,0.04,0.09,1.3,2.0,12.9,0.0,0.0,15.1,4.6,0.9,0.37,2.59,1.84
00-0032098,Daniel Brown,TE,2019,NYJ,11,0.65,0.02,0.03,0.05,0.64,1.0,6.55,0.09,0.0,10.09,1.91,0.36,-0.03,1.84,0.64
00-0032098,Daniel Brown,TE,2020,NYJ,8,3.1,0.0,0.0,0.01,0.25,0.25,3.88,0.0,0.0,1.25,2.62,0.25,0.55,0.64,
00-0032117,Nick O'Leary,TE,2016,BUF,13,0.88,0.03,0.03,0.07,0.69,1.08,8.77,0.0,0.0,9.92,3.31,0.38,0.47,1.72,4.94
00-0032117,Nick O'Leary,TE,2017,BUF,13,0.89,0.07,0.09,0.16,1.69,2.46,24.77,0.15,0.08,27.69,9.23,1.08,1.23,4.94,3.74
00-0032117,Nick O'Leary,TE,2019,JAX,8,1.15,0.03,0.02,0.06,1.62,2.25,13.62,0.12,0.12,11.88,4.88,0.5,0.22,3.74,
00-0032134,C.J. Uzomah,TE,2016,CIN,8,0.88,0.07,0.06,0.15,3.12,4.75,29.25,0.12,0.0,33.38,11.88,1.75,0.35,6.8,2.1
00-0032134,C.J. Uzomah,TE,2017,CIN,12,1.14,0.03,0.02,0.06,0.83,1.25,7.67,0.08,0.0,6.75,4.17,0.5,0.3,2.1,6.56
00-0032134,C.J. Uzomah,TE,2018,CIN,16,0.93,0.12,0.11,0.26,2.69,4.0,27.44,0.19,0.0,29.5,12.19,1.31,1.06,6.56,4.51
00-0032134,C.J. Uzomah,TE,2019,CIN,14,1.55,0.07,0.03,0.12,1.93,2.86,17.29,0.14,0.0,11.14,9.64,0.86,0.16,4.51,8.02
00-0032134,C.J. Uzomah,TE,2021,CIN,16,1.8,0.12,0.06,0.22,3.06,3.94,30.81,0.31,0.0,17.12,18.75,1.5,1.21,8.02,4.01
00-0032134,C.J. Uzomah,TE,2022,NYJ,14,1.18,0.05,0.04,0.1,1.5,1.93,16.57,0.14,0.0,14.0,7.5,0.71,0.8,4.01,2.48
00-0032134,C.J. Uzomah,TE,2023,NYJ,8,0.91,0.02,0.02,0.04,1.0,1.5,7.25,0.12,0.0,8.0,4.12,0.62,-0.42,2.48,
00-0032135,Jesse James,TE,2016,PIT,16,0.86,0.1,0.08,0.21,2.44,3.75,21.12,0.19,0.0,24.62,8.06,1.25,-0.24,5.68,7.01
00-0032135,Jesse James,TE,2017,PIT,14,0.96,0.11,0.07,0.21,3.07,4.5,26.57,0.21,0.0,27.57,13.71,1.43,0.85,7.01,5.62
00-0032135,Jesse James,TE,2018,PIT,15,1.41,0.06,0.06,0.13,2.0,2.6,28.2,0.13,0.0,20.0,12.33,1.13,1.5,5.62,2.32
00-0032135,Jesse James,TE,2019,DET,13,1.01,0.05,0.03,0.09,1.23,2.08,10.92,0.0,0.0,10.85,5.0,0.62,0.04,2.32,2.99
00-0032135,Jesse James,TE,2020,DET,13,1.09,0.04,0.02,0.08,1.08,1.69,9.92,0.15,0.0,9.08,5.85,0.46,-0.31,2.99,
00-0032139,Ben Koyack,TE,2016,JAX,10,1.06,0.04,0.03,0.08,1.9,2.4,16.1,0.1,0.0,15.2,4.5,1.0,0.69,4.11,
00-0032141,Geoff Swaim,TE,2018,DAL,9,1.74,0.06,0.03,0.12,2.89,3.56,26.89,0.11,0.0,15.44,18.22,1.22,0.63,6.24,4.38
